product_id,discounted_price,actual_price,discount_percentage,rating,rating_count
B07JW9H4J1,399.0,1099.0,64%,4.2,"24,269"
B098NS6PVG,199.0,349.0,43%,4,"43,994"
B096MSW6CT,199.0,1899.0,90%,3.9,"7,928"
B08HDJ86NZ,329.0,699.0,53%,4.2,"94,363"
B08CF3B7N1,154.0,399.0,61%,4.2,"16,905"
B08Y1TFSP6,149.0,1000.0,85%,3.9,"24,871"
B08WRWPM22,176.63,499.0,65%,4.1,"15,188"
B08DDRGWTJ,229.0,299.0,23%,4.3,"30,411"
B008IFXQFU,499.0,999.0,50%,4.2,"1,79,691"
B082LZGK39,199.0,299.0,33%,4,"43,994"
B08CF3D7QR,154.0,339.0,55%,4.3,"13,391"
B0789LZTCJ,299.0,799.0,63%,4.2,"94,363"
B07KSMBL2H,219.0,700.0,69%,4.4,"4,26,973"
B085DTN6R2,350.0,899.0,61%,4.2,"2,262"
B09KLVMZ3B,159.0,399.0,60%,4.1,"4,768"
B083342NKJ,349.0,399.0,13%,4.4,"18,757"
B0B6F7LX4C,13999.0,24999.0,44%,4.2,"32,840"
B082LSVT4B,249.0,399.0,38%,4,"43,994"
B08WRBG3XW,199.0,499.0,60%,4.1,"13,045"
B08DPLCM6T,13490.0,21990.0,39%,4.3,"11,976"
B09C6HXFC1,970.0,1799.0,46%,4.5,815
B085194JFL,279.0,499.0,44%,3.7,"10,962"
B09F6S8BT6,13490.0,22900.0,41%,4.3,"16,299"
B09NHVCHS9,59.0,199.0,70%,4,"9,378"
B0B1YVCJ2Y,11499.0,19990.0,42%,4.3,"4,703"
B01M4GGIVU,199.0,699.0,72%,4.2,"12,153"
B08B42LWKN,14999.0,19999.0,25%,4.2,"34,899"
B094JNXNPV,299.0,399.0,25%,4,"2,766"
B09W5XR9RT,970.0,1999.0,51%,4.4,184
B077Z65HSD,299.0,999.0,70%,4.3,"20,850"
B00NH11PEY,199.0,750.0,73%,4.5,"74,976"
B09CMM3VGK,179.0,499.0,64%,4,"1,934"
B08QSC1XY8,389.0,1099.0,65%,4.3,974
B008FWZGSG,599.0,599.0,0%,4.3,355
B0B4HJNPV4,199.0,999.0,80%,3.9,"1,075"
B08Y1SJVV5,99.0,666.66,85%,3.9,"24,871"
B07XLCFSSN,899.0,1900.0,53%,4.4,"13,552"
B09RZS1NQT,199.0,999.0,80%,4,576
B0B3MMYHYW,32999.0,45999.0,28%,4.2,"7,298"
B09C6HWG18,970.0,1999.0,51%,4.2,462
B00NH11KIK,209.0,695.0,70%,4.5,"1,07,687"
B09JPC82QC,19999.0,34999.0,43%,4.3,"27,151"
B07JW1Y6XV,399.0,1099.0,64%,4.2,"24,269"
B07KRCW6LZ,999.0,1599.0,38%,4.3,"12,093"
B09NJN8L25,59.0,199.0,70%,4,"9,378"
B07XJYYH7L,333.0,999.0,67%,3.3,"9,792"
B002PD61Y4,507.0,1208.0,58%,4.1,"8,131"
B014I8SSD0,309.0,475.0,35%,4.4,"4,26,973"
B09L8DSSFH,399.0,999.0,60%,3.6,493
B07232M876,199.0,395.0,50%,4.2,"92,595"
B07P681N66,1199.0,2199.0,45%,4.4,"24,780"
B0711PVX6Z,179.0,500.0,64%,4.2,"92,595"
B082T6V3DT,799.0,2100.0,62%,4.3,"8,188"
B07MKFNHKG,6999.0,12999.0,46%,4.2,"4,003"
B0BFWGBX61,199.0,349.0,43%,4.1,314
B01N90RZ4M,230.0,499.0,54%,3.7,"2,960"
B0088TKTY2,649.0,1399.0,54%,4.2,"1,79,691"
B09Q5SWVBJ,15999.0,21999.0,27%,4.2,"34,899"
B0B4DT8MKT,348.0,1499.0,77%,4.2,656
B08CDKQ8T6,154.0,349.0,56%,4.3,"7,064"
B07B275VN9,179.0,799.0,78%,3.7,"2,201"
B0B15CPR37,32990.0,47900.0,31%,4.3,"7,109"
B0994GFWBH,139.0,999.0,86%,4,"1,313"
B01GGKZ0V6,329.0,845.0,61%,4.2,"29,746"
B09F9YQQ7B,13999.0,24999.0,44%,4.2,"45,238"
B014I8SX4Y,309.0,1400.0,78%,4.4,"4,26,973"
B09Q8HMKZX,263.0,699.0,62%,4.1,450
B0B9XN9S3W,7999.0,14990.0,47%,4.3,457
